dataset,selector,accuracy,train_transform_time_s,feature_selection_time_s,training_time_s,test_transform_time_s,inference_time_s,total_time_s,retained_features,memory_delta_mb,status,error
CricketZ,random,0.8,10.498019099934028,0.0032392998691648,0.0713510999921709,10.281725199893115,0.0008159999269992,23.77547309990041,500.0,215.2890625,ok,
DiatomSizeReduction,anova_f,0.9575163398692812,0.462714800145477,0.0146170000080019,0.0026707998476922,9.069700400112197,0.0007327999919652,12.324484900105745,500.0,114.05859375,ok,
DiatomSizeReduction,mutual_info,0.9575163398692812,0.4601232998538762,821.0778016000986,0.0062757998239248,8.66974200005643,0.0007693001534789,833.0052854001988,500.0,107.76171875,ok,
DiatomSizeReduction,random,0.9705882352941176,1.7770453998818994,0.0005269001703709,0.0068012999836355,35.58231450011954,0.001816299976781,44.22633589990437,500.0,106.40234375,ok,
DistalPhalanxOutlineCorrect,anova_f,0.782608695652174,3.666482399916276,0.241368600167334,0.1292650999967008,1.741470699897036,0.0004396999720484,8.146332999924198,500.0,242.83984375,ok,
DistalPhalanxOutlineCorrect,mutual_info,0.7717391304347826,3.86860749986954,87.31187550001778,0.1127598001621663,1.825311599997804,0.0004350999370217,95.5979699001182,500.0,239.3984375,ok,
DistalPhalanxOutlineCorrect,random,0.75,4.082898600026965,0.0051025999709963,0.1179555000271648,1.8401832999661565,0.0004201000556349,8.518435300095007,500.0,239.55859375,ok,
DistalPhalanxOutlineAgeGroup,anova_f,0.762589928057554,4.374501500045881,0.1665793999563902,0.0762751000002026,1.317763099912554,0.0005222000181674,9.066684099845588,500.0,167.34765625,ok,
DistalPhalanxOutlineAgeGroup,mutual_info,0.7338129496402878,8.16194329992868,121.53236860013568,0.0548740001395344,0.8260766000021249,0.0003334998618811,134.57122600008734,500.0,165.76953125,ok,
DistalPhalanxOutlineAgeGroup,random,0.762589928057554,6.341054599964991,0.0031202000100165,0.0688124001026153,0.9131422000937164,0.0003692000173032,11.302716600010172,500.0,163.515625,ok,
Adiac,chi2,0.6895012787723785,0.7414975899970159,0.7414975899970159,0.0061821400187909,0.5054635000182316,0.0002208599820733,1.2534115599934013,500.0,40.28125,ok,
ArrowHead,chi2,0.8278571428571428,0.3362708000000566,0.3362708000000566,0.0002558500040322,0.3692976700142026,4.329001531004e-05,0.7059108899906278,500.0,36.26171875,ok,
Beef,chi2,0.7116666666666667,0.3522554999915883,0.3522554999915883,0.0002295000012964,0.0987156999995932,2.262000925838e-05,0.4512600400019437,500.0,35.90234375,ok,
BeetleFly,chi2,0.895,0.3400992300128563,0.3400992300128563,0.0002445599995553,0.077221759990789,2.221998292952e-05,0.4176297099795192,500.0,37.50390625,ok,
BirdChicken,chi2,0.945,0.3689797099912539,0.3689797099912539,0.000229370011948,0.0889452199917286,2.941999118775e-05,0.4582242599921301,500.0,37.76953125,ok,
CBF,chi2,1.0,0.2952152000041678,0.2952152000041678,0.0002458000089973,0.9311907400144264,0.0001275799935683,1.2270504000131042,500.0,37.5625,ok,
Car,chi2,0.895,0.5212015999946743,0.5212015999946743,0.0004394399933516,0.2560363499913364,2.671999391168e-05,0.777744169998914,500.0,36.72265625,ok,
ChlorineConcentration,chi2,0.6910937500000001,0.8990275399992242,0.8990275399992242,0.0082287400029599,4.9561053000157695,0.0004048399860039,5.863854840002023,500.0,53.95703125,ok,
CinCECGTorso,chi2,1.0,0.7571236999938263,0.7571236999938263,0.0002591700060292,17.113509229989724,0.0001852000132203,17.87112565001007,500.0,42.2890625,ok,
Coffee,chi2,1.0,0.3483739399816841,0.3483739399816841,0.000229990016669,0.0587206600001081,2.097999677062e-05,0.4073839300079271,500.0,37.421875,ok,
Computers,chi2,0.761,1.6010797800030558,1.6010797800030558,0.0027466699946671,1.3178358000004664,4.022000357508e-05,2.9217470000032337,500.0,42.08984375,ok,
CricketX,chi2,0.5552564102564103,1.1624328899895773,1.1624328899895773,0.0049416800029575,1.129275120003149,0.0001383599825203,2.296879960014485,500.0,39.296875,ok,
CricketY,chi2,0.7014102564102564,1.383255199994892,1.383255199994892,0.0064644400030374,0.9318485900061204,0.0001275399932637,2.321745770005509,500.0,39.1171875,ok,
CricketZ,chi2,0.545,1.3926087999949233,1.3926087999949233,0.0060503299813717,0.9947222799994052,0.0001112600089982,2.393540260009468,500.0,38.8671875,ok,
DiatomSizeReduction,chi2,0.999248366013072,0.4083133200183511,0.4083133200183511,0.0002239699941128,1.2152033400023357,8.620999287813e-05,1.6238918399903923,500.0,34.765625,ok,
DistalPhalanxOutlineAgeGroup,chi2,0.8147841726618705,0.5670644100056961,0.5670644100056961,0.0058602599892765,0.0972999999998137,3.615000750869e-05,0.6702986399875954,500.0,41.3203125,ok,
DistalPhalanxOutlineCorrect,chi2,0.7986231884057972,1.0999813199974595,1.0999813199974595,0.0161116099916398,0.2073864700039848,4.426999948918e-05,1.3235732099972664,500.0,46.05078125,ok,
